[2025-06-12 13:23:47] [INFO    ] discord.client: logging in using static token
[2025-06-12 13:23:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-12 13:23:47] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-12 13:23:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1382674640861659186', 'username': 'NoBot', 'avatar': 'e610002d107410a8f92de61946b6fed9', 'discriminator': '8528', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '167fc7979c990c4f7fbf65ddda480b8a', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-12 13:23:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-12 13:23:48] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-12 13:23:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1382674640861659186', 'name': 'NoBot', 'icon': 'e610002d107410a8f92de61946b6fed9', 'description': '', 'type': None, 'bot': {'id': '1382674640861659186', 'username': 'NoBot', 'avatar': 'e610002d107410a8f92de61946b6fed9', 'discriminator': '8528', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '167fc7979c990c4f7fbf65ddda480b8a', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '498a89f658acfbac2a420aad1dd6fcf60058e4e8dd7b0c3730716dcbcd2214f0', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1302054400801378306', 'username': 'shadow_105_emm', 'avatar': '04405bd4d83adb1fa9800eb3ae265665', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'NoShadow', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '981247140519108658', 'identity_enabled': True, 'tag': 'ᎠᎬᏙ', 'badge': 'b2d251bb5f1a9cfb35e488cdbc4c8443'}, 'primary_guild': {'identity_guild_id': '981247140519108658', 'identity_enabled': True, 'tag': 'ᎠᎬᏙ', 'badge': 'b2d251bb5f1a9cfb35e488cdbc4c8443'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-12 13:23:48] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-12 13:23:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-2t2v",{"micros":0.0}]']}}
[2025-06-12 13:23:48] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-12 13:23:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
